name,provincia,alt,desnivel,dist,pendiente,coef,la_ini,lo_ini,la_fin,lo_fin
" Boiret, El (Benifato) por Guadalest-Benimantell",Alicante,750 m ,380 m ,"6,5 Km ","5,85 % ",108  , 38.678408 , -0.192261 , 38.66715 , -0.220027 
" Boiret, El (Benifato) por Guadalest-Benifato",Alicante,750 m ,380 m ,"9,3 Km ","4,09 % ",62  , 38.678475 , -0.192475 , 38.667217 , -0.220242 
" Boiret, El (Benifato) por Beniardá.Benifato",Alicante,750 m ,362 m ,"5,1 Km ","7,1 % ",79  , 38.688089 , -0.216851 , 38.667183 , -0.220199 
" Boiret, El (Benifato) por Callosa-Benifato",Alicante,750 m ,520 m ,"12,6 Km ","4,13 % ",82  , 38.663732 , -0.161147 , 38.667217 , -0.220242 
 Boí-Taüll por Boí y Taüll,Lleida,2031 m ,780 m ,"14,2 Km ","5,49 % ",142  , 42.531412 , 0.833083 , 42.478452 , 0.869609 
" Boixar, El por Molí l'Abat",Castellón,1166 m ,758 m ,20 Km ,"3,79 % ",133  , 40.670483 , 0.257149 , 40.670093 , 0.101967 
" Boixeda, Coll de la por Beget",Gerona,1098 m ,558 m ,"10,8 Km ","5,2 % ",101  , 42.321272 , 2.47998 , 42.33433 , 2.433545 
 Boldís-Sobirà por Ainet de Cardós,Lleida,1483 m ,555 m ,"9,6 Km ","5,78 % ",167  , 42.563568 , 1.226412 , 42.613241 , 1.271516 
 Bolibar por Eskoriatza,Gipuzkoa,440 m ,146 m ,"2,8 Km ","5,21 % ",23  , 43.015913 , -2.525238 , 43.003313 , -2.52737 
" Bonaigua, La por Viella",Lleida,2072 m ,1102 m ,23 Km ,"4,79 % ",182  ,  ,  ,  ,  
" Bonaigua, La por Esterri d'Aneu",Lleida,2072 m ,1112 m ,"20,5 Km ","5,42 % ",178  ,  ,  ,  ,  
" Bonansa, Puerto de por Bonansa (N-260)",Huesca,1366 m ,436 m ,"6,16 Km ","7,08 % ",93  , 42.440245 , 0.698785 , 42.423688 , 0.648143 
" Bonansa, Puerto de por Herrerías de Calvera",Huesca,1366 m ,404 m ,"10,79 Km ","3,74 % ",61  , 42.378973 , 0.597117 , 42.423688 , 0.648143 
 Bonicaparra por Ezcaray,La Rioja,1264 m ,437 m ,8 Km ,"5,46 % ",73  , 42.316861 , -3.013 , 42.320779 , -2.957468 
" Boquerón, El por El Herradón de Pinares",Ávila,1315 m ,405 m ,"8,7 Km ","4,65 % ",57  , 40.564025 , -4.560184 , 40.575435 , -4.607735 
" Boquerón, El por Ávila",Ávila,1315 m ,203 m ,"6,9 Km ","2,94 % ",27  , 40.618881 , -4.63671 , 40.575435 , -4.607735 
 Boquete de Zafarraya por Puente de Don Manuel,Málaga,906 m ,686 m ,"11,8 Km ","5,81 % ",113  ,  ,  ,  ,  
" Bordoi, Can por Llinars del Vallés",Barcelona,344 m ,156 m ,"2,4 Km ","6,5 % ",29  ,  ,  ,  ,  
 Borraxeiros - A Picona por Filgueiras,Pontevedra,572 m ,492 m ,7 Km ,"7,03 % ",115  , 42.213691 , -8.190758 , 42.204974 , -8.227032 
" Borriqueta, La por Sege",Albacete,1374 m ,712 m ,"15,4 Km ","4,62 % ",142  , 38.340993 , -2.247827 , 38.255514 , -2.328937 
" Borriqueta, La por Los Casares",Albacete,1375 m ,637 m ,"12,4 Km ","5,12 % ",130  , 38.261895 , -2.265612 , 38.262152 , -2.346146 
" Borriqueta, La por La Graya",Albacete,1375 m ,750 m ,"11,5 Km ","6,52 % ",182  , 38.307538 , -2.347655 , 38.262152 , -2.346146 
" Borriqueta, La por Río Taibilla-Sege",Albacete,1375 m ,657 m ,"13,8 Km ","4,78 % ",135  , 38.285433 , -2.258341 , 38.262152 , -2.346146 
 Bostarratxeta por Bergantza-Osoño,Álava,558 m ,308 m ,"2,25 Km ","13,7 % ",154  , 43.056922 , -2.932051 , 43.068033 , -2.945623 
" Bovalar, El por La Renegà",Castellón,120 m ,110 m ,"1,9 Km ","5,79 % ",18  , 40.06372 , 0.117588 , 40.07377 , 0.12939 
" Bovalar, El por Oropesa",Castellón,120 m ,110 m ,"1,2 Km ","9,17 % ",32  , 40.080501 , 0.135784 , 40.07377 , 0.12939 
" Boyar, El - Palomas, Las por El Bosque",Cádiz,1189 m ,917 m ,"19,6 Km ","4,68 % ",233  ,  ,  ,  ,  
" Bracons, Coll de por Sant Pere de Torelló",Barcelona,1148 m ,560 m ,"13,4 Km ","4,2 % ",125  ,  ,  ,  ,  
" Bracons, Coll de por La Vall d'en Bas",Gerona,1148 m ,650 m ,"8,6 Km ","7,5 % ",164  , 42.130492 , 2.450648 , 42.108297 , 2.376423 
" Braguía, La por Vega de Pas",Cantabria,720 m ,360 m ,"6,2 Km ","5,81 % ",60  , 43.15956 , -3.784368 , 43.177213 , -3.796728 
" Braguía, La por Selaya",Cantabria,720 m ,480 m ,"8,2 Km ","5,85 % ",86  , 43.215038 , -3.806334 , 43.177213 , -3.796728 
 Braña San Miguel por Villablino,León,1342 m ,337 m ,"4,03 Km ","8,3 % ",92  , 42.941627 , -6.328704 , 42.977149 , -6.327610 
" Brañuas, Alto de por Villayon",Asturias,775 m ,402 m ,15 Km ,"2,68 % ",115  , 43.447186 , -6.703806 , 43.396691 , -6.646042 
" Brañuas, Alto de por Rellanos",Asturias,775 m ,428 m ,5 Km ,"8,56 % ",120  , 43.393822 , -6.625872 , 43.396753 , -6.646042 
 Brisketa por Arrigorriaga,Bizkaia,258 m ,208 m ,"3,1 Km ","6,71 % ",42  , 43.211674 , -2.88728 , 43.224145 , -2.898771 
 Bronchales por Orihuela del Tremedal,Teruel,1500 m ,98 m ,"6,59 Km ","1,48 % ",16  ,  ,  ,  ,  
 Bronchales por Pozondón,Teruel,1505 m ,119 m ,4 Km ,"2,98 % ",20  ,  ,  ,  ,  
" Brueva, Collada de por Selviella",Asturias,734 m ,578 m ,"5,4 Km ","10,7 % ",204  , 43.319183 , -6.221781 , 43.333294 , -6.249161 
" Bucs, Coll de por Oix",Gerona,780 m ,369 m ,"4,1 Km ",9 % ,104  , 42.274659 , 2.536092 , 42.283775 , 2.514146 
" Buenos Aires, Alto de por Chella",Valencia,477 m ,267 m ,8 Km ,"3,34 % ",49  , 39.044119 , -0.644331 , 39.022785 , -0.742006 
 Buira (Pueblo) por El Pont de Suert,Huesca,1168 m ,322 m ,"4,7 Km ","6,85 % ",69  , 42.404441 , 0.739011 , 42.393142 , 0.72861 
" Buitres, Alto de los por Los Ausines",Burgos,1012 m ,112 m ,"5,6 Km ",2 % ,25  , 42.229995 , -3.598816 , 42.270831 , -3.602808 
 Bujanda por Antoñana,Álava,800 m ,225 m ,"3,2 Km ",7 % ,48  , 42.67654 , -2.403477 , 42.666984 , -2.439315 
" Buñol, Portillo de por Río Buñol",Valencia,595 m ,288 m ,"5,3 Km ","5,4 % ",30  , 39.410103 , -0.786123 , 39.435033 , -0.820498 
 Burbustu por Arrigorriaga,Bizkaia,155 m ,101 m ,"1,95 Km ","5,18 % ",21  , 43.207663 , -2.883541 , 43.201727 , -2.875875 
 Bustal Blanch por La Pelejaneta,Castellón,429 m ,143 m ,"3,8 Km ","3,76 % ",20  , 40.195954 , -0.063815 , 40.195397 , -0.030942 
 Bustal Blanch por Vall d'Alba,Castellón,429 m ,149 m ,"3,2 Km ","4,66 % ",23  , 40.168806 , -0.027208 , 40.195397 , -0.030942 
" Bustantigo, Alto de por Puente Polea",Asturias,1033 m ,939 m ,"16,6 Km ","5,65 % ",326  , 43.415523 , -6.712646 , 43.337789 , -6.704922 
" Bustariega, La por La Riera",Asturias,1032 m ,539 m ,7 Km ,"7,7 % ",155  , 43.154667 , -6.259675 , 43.141141 , -6.194916 
" Buste, El por Borja",Zaragoza,764 m ,315 m ,"11,4 Km ","2,76 % ",54  , 41.831029 , -1.535772 , 41.882704 , -1.611693 
" Buste, El por Cunchillos",Zaragoza,764 m ,273 m ,"5,2 Km ","5,29 % ",45  , 41.892827 , -1.635615 , 41.882704 , -1.611693 
 Bustellan por Ese de Calleras,Asturias,1012 m ,847 m ,"14,4 Km ","5,88 % ",169  , 43.418702 , -6.482706 , 43.381784 , -6.399879 
 Bustellan por Pontigon-Ayones,Asturias,1012 m ,933 m ,13 Km ,"7,17 % ",232  , 43.461828 , -6.415758 , 43.381784 , -6.399879 
 Bustellan-Casa del Puerto por Florida,Asturias,1012 m ,768 m ,14 Km ,"6,4 % ",180  , 43.294262 , -6.417561 , 43.381784  , -6.399879  
 Busterrigane por Kortezubi-Arteaga,Bizkaia,443 m ,438 m ,"6,3 Km ","6,95 % ",108  , 43.341909 , -2.654421 , 43.353655 , -2.605643 
 Bustiñodo por Aldea de Ebro,Cantabria,1045 m ,263 m ,"8,49 Km ","3,1 % ",52  ,  42.901784 , -4.03415 , 42.925686 , -3.987805 
 Busto de Treviño por Cucho,Burgos,695 m ,185 m ,"4,2 Km ","4,4 % ",27  , 42.729114 , -2.776304 , 42.762205 , -2.75946 
" Busto, Portillo del por Bureba",Burgos,1003 m ,281 m ,"5,4 Km ","5,2 % ",42  , 42.664009 , -3.262918 , 42.689967 , -3.26574 
" Busto, Portillo del por Frías",Burgos,1003 m ,458 m ,"12,4 Km ","3,69 % ",76  , 42.760869 , -3.295233 , 42.69007 , -3.265903 
" Busto, Portillo del por Oña",Burgos,1003 m ,427 m ,16 Km ,"2,67 % ",79  , 42.736548 , -3.411341 , 42.689991 , -3.265815 
" Caballón, El por Río Cuzna",Córdoba,726 m ,454 m ,"6,39 Km ","7,1 % ",97  ,  ,  ,  ,  
" Caballón, El por Río Varas (Sur)",Córdoba,726 m ,498 m ,"17,45 Km ","2,9 % ",130  ,  ,  ,  ,  
" Caballos, Los por Berja",Almería,846 m ,610 m ,16 Km ,"3,8 % ",95  ,  ,  ,  ,  
" Caballos, Los por Cherín",Almería,846 m ,313 m ,"8,6 Km ","3,64 % ",51  ,  ,  ,  ,  
 Cabanes por Ribera de Cabanes,Castellón,362 m ,317 m ,"6,8 Km ","4,7 % ",53  , 40.138925 , 0.151448 , 40.160608 , 0.075359 
 Cabañas por Olvera,Cádiz,531 m ,131 m ,"1,79 Km ","7,28 % ",28  ,  ,  ,  ,  
 Cabañas por A-376,Cádiz,530 m ,156 m ,"8,8 Km ","1,76 % ",42  ,  ,  ,  ,  
 Cabañas por Riofrío,Ávila,1408 m ,219 m ,"4,09 Km ","5,34 % ",39  , 40.548053 , -4.782793 , 40.558883 , -4.76434 
 Cabañas y Matalindo por BU-8004 (Valle de Juarros),Burgos,1165 m ,134 m ,"4,1 Km ","3,27 % ",21  , 42.237637 , -3.482087 , 42.23187 , -3.438914 
" Cabarcos, Alto de por Friera",León,845 m ,380 m ,"9,2 Km ","4,13 % ",115  ,  ,  ,  ,  
" Cabas, Collado de por Presa Naranjero",Valencia,441 m ,143 m ,"3,5 Km ","4,09 % ",19  , 39.275554 , -0.850625 , 39.2508 , -0.791874 
" Cabas, Collado de por Río Júcar",Valencia,441 m ,281 m ,"5,7 Km ","4,93 % ",46  , 39.266617 , -0.788183 , 39.2508 , -0.791874 
 Cabeza Alta por Encrucijada,Soria,1400 m ,198 m ,"4,19 Km ","4,71 % ",30  , 41.940935 , -2.947258 , 41.915838 , -2.945209 
 Cabeza Alta por Pinar Grande,Soria,1400 m ,260 m ,"5,09 Km ","5,09 % ",42  , 41.862824 , -2.939386 , 41.915838 , -2.945209 
 Cabeza de Buey por Pozo Carachín,Ciudad Real,1156 m ,247 m ,"2,2 Km ","11,23 % ",98  , 38.619005 , -3.209664 , 38.628057 , -3.208398 
 Cabeza de Manzaneda por Bibei-Manzaneda,Orense,1760 m ,1448 m ,"30,5 Km ","4,75 % ",298  , 42.333632 , -7.214427 , 42.258227 , -7.300011 
 Cabeza del Fraile por Río Cabriel (Fte. Podrida),Valencia,665 m ,265 m ,"8,4 Km ","3,15 % ",39  , 39.339575 , -1.348014 , 39.406522 , -1.327629 
 Cabeza do Foxo - Portocamba por Laza,Orense,1102 m ,631 m ,13 Km ,"4,9 % ",104  , 42.061231 , -7.456652 , 42.081767 , -7.376897 
 Cabezabellosa por Villar de Plasencia,Cáceres,938 m ,509 m ,"10,5 Km ","4,85 % ",75  ,  ,  ,  ,  
" Cabezo, Alto del por Los Calpes",Castellón,862 m ,127 m ,3 Km ,"4,2 % ",18  , 40.073376 , -0.593476 , 40.075576 , -0.571289 
" Cabezo, Alto del (Collado de Campo) por Montanejos",Castellón,862 m ,399 m ,"12,4 Km ","3,22 % ",58  , 40.072587 , -0.527773 , 40.075576 , -0.571246 
 Cabo Tiñoso por Campillo de Adentro,Murcia,369 m ,315 m ,"4,7 Km ","6,7 % ",61  , 37.566259 , -1.15413 , 37.551643 , -1.151959 
" Cabra Montés, Mirador de la por Jete",Granada,1002 m ,893 m ,"17,1 Km ","5,22 % ",154  , 36.79744 , -3.667974 , 36.841827 , -3.721275 
 Cabrera - Faro Sa Punta l'Ensiola por Isla Cabrera,Baleares,101 m ,96 m ,"1,5 Km ","6,4 % ",17  , 39.129416 , 2.921716 , 39.131746 , 2.927445 
" Cabrillas, Las por Iglesuela del Cid",Teruel,1320 m ,211 m ,"7,59 Km ","2,77 % ",35  ,  ,  ,  ,  
" Cabrillas, Las por Iglesuela del Cid",Teruel,1329 m ,199 m ,6 Km ,"3,32 % ",32  , 40.46396 , -0.311952 , 40.503195 , -0.306373 
" Cabrillas, Las por La Cuba",Castellón,1331 m ,476 m ,"16,4 Km ","2,9 % ",96  , 40.613822 , -0.293627 , 40.503129 , -0.306416 
" Cabrillas, Las por Portell de Morella",Castellón,1329 m ,249 m ,6 Km ,"4,15 % ",38  , 40.533079 , -0.262556 , 40.503195 , -0.306373 
" Cabrio, El por Paradores (Valle de Mena)",Burgos,755 m ,393 m ,"8,5 Km ","4,62 % ",72  , 43.094998 , -3.339286 , 43.088448 , -3.44327 
 Cadagua por Sopeñano,Burgos,415 m ,69 m ,"1,4 Km ","4,93 % ",11  , 43.077477 , -3.335617 , 43.071944 , -3.350422 
" Cadramón, O por A Torre - O Pereiro",Lugo,1122 m ,1032 m ,"14,5 Km ","7,1 % ",313  , 43.510473 , -7.442987 , 43.474977 , -7.547504 
" Cadramón, O por Frexulfe - O Campo",Lugo,1122 m ,1060 m ,"17,2 Km ","6,16 % ",294  , 43.516675 , -7.443432 , 43.474977 , -7.547504 
 Caín por Caín-Posada de Valdeón,León,941 m ,481 m ,"7,69 Km ","6,25 % ",128  , 43.213238 , -4.905106 , 43.151270 , -4.917779 
" Caíza, Alto por El Espartal",Madrid,916 m ,259 m ,"5,1 Km ","5,05 % ",55  , 40.772547 , -3.521118 , 40.772677 , -3.569226 
 Calabor-La Atalaya por Pedralba (Pte Río Castro),Zamora,1095 m ,154 m ,"4,15 Km ","3,71 % ",20  , 42.029717 , -6.71149 , 42.014542 , -6.69192 
 Calabor-La Atalaya por Pedralba (Ctra Puebla),Zamora,1095 m ,109 m ,"2,62 Km ","4,16 % ",14  , 42.023334 , -6.691834 , 42.014542 , -6.69192 
 Calabor-La Atalaya por Calabor,Zamora,1095 m ,323 m ,"8,25 Km ","3,92 % ",49  , 41.964138 , -6.712414 , 42.014542 , -6.69192 
 Calar Alto por Aulago,Almería,2155 m ,1427 m ,"30,5 Km ","4,68 % ",253  , 37.118072 , -2.591701 , 37.221996 , -2.546791 
 Calar Alto por Serón (A-339),Almería,2155 m ,1436 m ,32 Km ,"4,48 % ",260  , 37.342873 , -2.503709 , 37.221996 , -2.546791 
 Calar Alto por Serón-Las Menas,Almería,2155 m ,1436 m ,"27,89 Km ","5,15 % ",272  , 37.342873 , -2.503709 , 37.221996 , -2.546791 
 Calar Alto por Tíjola,Almería,2155 m ,1496 m ,"33,5 Km ","4,46 % ",338  , 37.344822 , -2.441836 , 37.221996 , -2.546791 
" Calda, Collado de la por Siete Aguas",Valencia,891 m ,241 m ,8 Km ,"3,01 % ",45  , 39.45664 , -0.903196 , 39.503974 , -0.889978 
" Calderón, Collado por Río Arcos",Teruel,1304 m ,404 m ,"6,8 Km ","5,94 % ",70  , 39.985078 , -1.109447 , 40.016539 , -1.142879 
" Calderona, Coll de la por Puçol",Valencia,219 m ,179 m ,"5,4 Km ","3,3 % ",28  , 39.620367 , -0.323453 , 39.654969 , -0.35152 
" Calderona, Coll de la por Gilet",Valencia,219 m ,133 m ,"4,1 Km ","3,2 % ",24  , 39.679712 , -0.323882 , 39.654969 , -0.35152 
" Calderona, Coll de la por Cº Sto. Espiritu (Camping)",Valencia,219 m ,137 m ,"3,7 Km ","3,7 % ",25  , 39.625094 , -0.361948 , 39.654969 , -0.35152 
" Calderona, Coll de la por Camino Aigua Amarga",Valencia,219 m ,143 m ,4 Km ,"3,6 % ",22  , 39.622384 , -0.357914 , 39.654969 , -0.35152 
" Calera, Coll de la por Requena",Valencia,737 m ,90 m ,"3,8 Km ","2,37 % ",13  , 39.476585 , -1.102281 , 39.445804 , -1.099019 
" Calera, Coll de la por La Portera",Valencia,737 m ,103 m ,"3,3 Km ","3,12 % ",14  , 39.415143 , -1.107216 , 39.445804 , -1.099019 
" Calera, Coll de la por Río Turia",Valencia,520 m ,170 m ,"2,8 Km ","6,07 % ",30  , 39.696852 , -1.002202 , 39.710158 , -0.988383 
" Calera, Coll de la por Calles",Valencia,520 m ,170 m ,"3,9 Km ","4,36 % ",28  , 39.726267 , -0.974994 , 39.710158 , -0.988383 
" Calera, La por Villanueva de San Juan",Sevilla,629 m ,291 m ,"7,23 Km ",4 % ,58  ,  ,  ,  ,  
" Calerilla, Puerto de la por Benaoján",Málaga,773 m ,341 m ,"9,25 Km ","3,7 % ",54  ,  ,  ,  ,  
" Calero, El por Solana del Pino",Ciudad Real,970 m ,257 m ,"3,9 Km ","6,59 % ",61  ,  ,  ,  ,  
" Calero, El por Presa de Montoro",Ciudad Real,970 m ,420 m ,"12,1 Km ","3,62 % ",83  ,  ,  ,  ,  
" Calibet, Lloma de por Cocentaina (norte)",Alicante,589 m ,221 m ,"3,5 Km ","6,31 % ",43  , 38.759471 , -0.427008 , 38.751406 , -0.392976 
" Calibet, Lloma de por Cocentaina (sur)",Alicante,589 m ,221 m ,3 Km ,"7,37 % ",51  , 38.753749 , -0.423489 , 38.751406 , -0.392976 
 Callosa d'En Sarrià por Altea la Vella,Alicante,225 m ,175 m ,"4,7 Km ","3,72 % ",23  , 38.631053 , -0.078106 , 38.650025 , -0.121837 
 Callosa d'En Sarrià por La Nucia,Alicante,225 m ,93 m ,"1,7 Km ","5,47 % ",15  , 38.635243 , -0.119262 , 38.650025 , -0.121837 
 Caloca por por Rio Bullón(Pesaguero),Cantabria,1060 m ,520 m ,7 Km ,"7,4 % ",120  , 43.076163 , -4.543759 , 43.04263 , -4.561858 
" Caloco, Cristo del por Navas de San Antonio",Segovia,1295 m ,140 m ,"3,2 Km ","4,38 % ",19  , 40.758613 , -4.333384 , 40.749933 , -4.286907 
" Caloco, Cristo del por El Espinar",Segovia,1295 m ,160 m ,"3,2 Km ",5 % ,25  , 40.734911 , -4.25545 , 40.749933 , -4.286907 
 Campa de Laviadas por Vilaquinte,Lugo,795 m ,190 m ,"5,4 Km ","3,52 % ",33  , 42.894746 , -6.944525 , 42.907101 , -6.968987 
 Campa de Laviadas por Navia de Suarna,Lugo,795 m ,475 m ,10 Km ,"4,75 % ",101  , 42.965006 , -7.004349 , 42.907101 , -6.968987 
 Campa Hafade por Orduña,Bizkaia,471 m ,194 m ,"3,77 Km ","5,15 % ",36  , 42.99804 , -3.007915 , 43.002411 , -3.040187 
 Campa Hafade por Lendoño de Abajo,Bizkaia,471 m ,119 m ,"1,47 Km ","8,1 % ",29  , 43.012936 , -3.039782 , 43.002411 , -3.040187 
 Campa San Juan por El Entrego,Asturias,547 m ,312 m ,"8,3 Km ","3,8 % ",68  , 43.289795 , -5.636523 , 43.318387 , -5.582010 
 Campa San Juan por Martimporra - Fontanina,Asturias,547 m ,245 m ,"2,7 Km ","9,1 % ",73  , 43.331718 , -5.566378 , 43.318387 , -5.582010 
" Campa, La por Villaviciosa",Asturias,400 m ,372 m ,9 Km ,"4,13 % ",51  , 43.481511 , -5.437202 , 43.422474 , -5.513163 
 Campadales por Horcajuelo de la Sierra,Madrid,1290 m ,175 m ,"2,58 Km ","6,78 % ",43  , 41.061071 , -3.542619 , 41.060618 , -3.563519 
 Campadales por Horcajo de la Sierra,Madrid,1290 m ,249 m ,"3,8 Km ","6,55 % ",53  , 41.072104 , -3.587809 , 41.060618 , -3.563519 
 Campanario por Sesnández,Zamora,983 m ,157 m ,"3,95 Km ","3,97 % ",22  , 41.813332 , -6.078794 , 41.81845 , -6.040943 
 Campanario por Tábara,Zamora,983 m ,235 m ,"7,6 Km ","3,09 % ",37  , 41.820848 , -5.968974 , 41.81845 , -6.040943 
 Campanario de Galve por Umbralejo/ La Huerce,Guadalajara,1560 m ,495 m ,"18,4 Km ","2,69 % ",100  , 41.134726 , -3.193889 , 41.185566 , -3.187323 
" Campastros, Alto de por Cruce Hontoria/Aldea del Pinar",Burgos,1185 m ,132 m ,4 Km ,"3,3 % ",20  , 41.861076 , -3.151939 , 41.871734 , -3.115182 
" Campeja, Alto de la por Mores",Zaragoza,638 m ,199 m ,"3,94 Km ","5,05 % ",32  , 41.477771 , -1.568152 , 41.508057 , -1.577945 
" Campeja, Alto de la por Brea",Zaragoza,638 m ,107 m ,"2,39 Km ","4,48 % ",16  , 41.520558 , -1.599832 , 41.508057 , -1.577945 
" Campelles, Alt de por Ribes de Freser N-152",Gerona,1309 m ,408 m ,"6,2 Km ","6,58 % ",72  , 42.300663 , 2.166635 , 42.295945 , 2.138901 
" Campelles, Alt de por Planoles",Gerona,1309 m ,276 m ,"4,71 Km ","5,86 % ",62  , 42.312949 , 2.10834 , 42.295945 ,  2.138901  
 Campellet (Campello) por Moixent,Valencia,645 m ,312 m ,"8,4 Km ","3,71 % ",43  , 38.875866 , -0.753636 , 38.868215 , -0.697503 
 Campellet (Campello) por Aielo de Malferit,Valencia,645 m ,387 m ,"11,9 Km ","3,27 % ",54  , 38.872392 , -0.578842 , 38.868182 , -0.697675 
 Campello por Vallada,Valencia,603 m ,358 m ,"4,1 Km ","8,63 % ",119  , 38.902422 , -0.687933 , 38.881145 , -0.678835 
 Campello-Portixol por Vallada,Valencia,774 m ,529 m ,"7,8 Km ","6,78 % ",143  , 38.902389 , -0.688019 , 38.859193 , -0.665832 
" Camperona, La por Río Esla",León,1601 m ,660 m ,"9,75 Km ","6,76 % ",264  , 42.832485 , -5.132310 , 42.853211 , -5.194048 
" Camperona, La por El Rosellón -Candín, Siero",Asturias,577 m ,295 m ,"3,7 Km ",8 % ,81  , 43.341800 ,  -5.628079 , 43.329314 , -5.607458 
" Campichuelillo, El por Jalance",Valencia,774 m ,419 m ,7 Km ,"5,99 % ",90  , 39.209545 , -1.089664 , 39.227898 , -1.137729 
" Campichuelillo, El por Cofrentes",Valencia,774 m ,434 m ,12 Km ,"3,62 % ",81  , 39.224175 , -1.063828 , 39.227898 , -1.137729 
" Campichuelo, El por Salto de Cofrentes",Valencia,747 m ,412 m ,"8,5 Km ","4,85 % ",69  , 39.249404 , -1.093612 , 39.252395 , -1.133909 
" Campichuelo, El por Cofrentes",Valencia,747 m ,437 m ,"10,2 Km ","4,28 % ",69  , 39.224175 , -1.063828 , 39.252395 , -1.133909 
 Campillo por Paradores,Burgos,463 m ,56 m ,"1,8 Km ","3,1 % ",8  , 43.095468 , -3.33817 , 43.117713 , -3.358083 
" Campillo, Alto del por Sisterna",Asturias,1075 m ,320 m ,5 Km ,"6,4 % ",64  , 42.951711 , -6.678572 , 42.9519 , -6.627588 
" Campillo, Alto del por Jaraba",Zaragoza,1011 m ,250 m ,"6,1 Km ","4,08 % ",40  , 41.189668 , -1.876366 , 41.163277 , -1.860895 
" Campillo, Alto del por El Rebollar",Asturias,1075 m ,286 m ,3 Km ,"9,53 % ",84  , 42.945868 , -6.597891 , 42.9519 , -6.627588 
" Campillo, El por Cerredo",Asturias,1075 m ,286 m ,3 Km ,"9,53 % ",83  , 42.945868 , -6.597805 , 42.952151 , -6.624498 
" Campillo, El por Sisterna",Asturias,1075 m ,320 m ,5 Km ,"6,4 % ",64  , 42.951083 , -6.678572 , 42.952151 , -6.624498 
 Camping El Concurso por Ctra Abejar-Molinos,Soria,1150 m ,65 m ,2 Km ,"3,27 % ",9  , 41.833416 , -2.78753 , 41.820497 , -2.791693 
 Campo do Pozo por Portomouro,La Coruña,476 m ,311 m ,"7,9 Km ","3,92 % ",49  , 42.959205 , -8.64737 , 42.991169 , -8.692346 
 Campo la Cruz por Secadura,Cantabria,351 m ,323 m ,"6,1 Km ","5,3 % ",72  ,  ,  ,  ,  
 Campo la Cruz por Solórzano,Cantabria,388 m ,268 m ,"3,7 Km ","7,24 % ",63  , 43.376366 , -3.5864 , 43.366392 , -3.546782 
" Campo la Eria, Collado de por Cruce carretera Somiedo",Asturias,770 m ,593 m ,"7,9 Km ","6,9 % ",217  , 43.243202 , -6.233025 , 43.247578 , -6.246071 
 Campo Layal (La Aparecida) por Ampuero,Cantabria,418 m ,403 m ,"6,5 Km ","6,2 % ",75  , 43.342242 , -3.427691 , 43.318287 , -3.470142 
 Campo Rubín por Ponte Nafonso,La Coruña,356 m ,351 m ,"5,85 Km ",6 % ,66  , 42.834772 , -8.874301 , 42.858444 , -8.848444 
" Camporiol, Coll de por Castellfollit de la Roca",Gerona,508 m ,247 m ,7 Km ,"3,53 % ",36  , 42.221244 , 2.552744 , 42.258776 , 2.537056 
" Can Taló, Coll de por Sant Miquel del Fai",Barcelona,764 m ,297 m ,"8,8 Km ","3,4 % ",44  ,  ,  ,  ,  
" Canaleta, La por Montanejos",Castellón,851 m ,382 m ,"7,1 Km ","5,38 % ",79  , 40.085394 ," ,-0.504427 ", 40.113625 , -0.46443 
 Canalí (Teulau) por Banyeres de Mariola,Alicante,1014 m ,334 m ,"12,1 Km ","2,8 % ",56  , 38.710161 , -0.6745 , 38.65646 , -0.650082 
 Canalí (Teulau) por Onil,Alicante,1014 m ,334 m ,"6,7 Km ","5,11 % ",54  , 38.625186 , -0.672998 , 38.65646 , -0.650082 
" Cancho Cabeza, Alto de por Patones-El Atazar",Madrid,1067 m ,358 m ,"11,7 Km ","3,05 % ",68  , 40.877764 , -3.445673 , 40.893986 , -3.503609 
" Canda, Portela de A por Vilavella",Orense,1254 m ,217 m ,"5,3 Km ","4,13 % ",30  , 42.037733 , -7.015593 , 42.033621 , -6.96461 
" Canda, Portilla de la por Nacional 525",Zamora,1204 m ,226 m ,"5,7 Km ","3,96 % ",33  , 42.032437 , -6.920854 , 42.037399 , -6.968628 
" Canda, Portilla de la por Chanos-Las Hedradas",Zamora,1254 m ,276 m ,"7,1 Km ","3,89 % ",36  , 42.032437 , -6.920854 , 42.033621 , -6.96461 
 Canencia por Miraflores de la Sierra,Madrid,1524 m ,371 m ,8 Km ,"4,64 % ",73  , 40.813687 , -3.770301 , 40.869002 , -3.764019 
 Canencia por Canencia,Madrid,1524 m ,448 m ,14 Km ,"3,2 % ",72  , 40.943245 , -3.71016 , 40.869002 , -3.764019 
" Canes, Coll de por Ripoll",Gerona,1120 m ,432 m ,"15,42 Km ","2,8 % ",66  , 42.198544 , 2.194605 , 42.197157 , 2.346005 
" Canes, Coll de (+Coubet) por Olot",Gerona,1120 m ,697 m ,13 Km ,"5,36 % ",108  , 42.191466  ,  2.47702 , 42.197157  , 2.346005  
 Cantalavieja por Río Bolbaite,Valencia,575 m ,258 m ,"7,4 Km ","3,49 % ",36  , 39.057784 , -0.726428 , 39.021651 , -0.782733 
 Cantejeira por Balboa,León,1096 m ,405 m ,"4,5 Km ",9 % ,120  , 42.705934 , -6.923130 , 42.707053 , -6.894972 
